model,roc_auc,avg_precision,recall,precision,f1
logistic_regression,0.8589208672743347,0.6825632421474306,0.8113712374581941,0.5321248354052519,0.6424982289683789
random_forest,0.8460839352566001,0.640446576309914,0.6762541806020067,0.5862454765857329,0.6278939083640166
xgboost,0.839581376358634,0.6403653813751261,0.6648829431438127,0.5671527015778961,0.6119538264336875
